date,bet_team_home,bet_draw,bet_team_away
30/08/2021,2.9,2.65,2.2
13/09/2021,2.85,2.95,2.05
19/09/2021,1.7,3.2,3.6
25/09/2021,3.6,3.05,1.75
03/10/2021,1.2,4.55,8.1
16/10/2021,8.0,4.6,1.2
23/10/2021,1.15,4.9,9.8
30/10/2021,3.65,3.2,1.7
06/11/2021,4.05,3.1,1.65
27/11/2021,1.55,3.25,4.5
01/12/2021,2.75,2.55,2.4
05/12/2021,1.65,3.2,3.9
11/12/2021,3.45,2.9,1.85
21/12/2021,2.25,2.6,2.9
26/12/2021,1.7,3.1,3.8
01/01/2022,2.7,2.8,2.25
10/01/2022,1.55,3.45,4.15
15/01/2022,7.5,4.8,1.2
22/01/2022,1.05,6.4,15.0
29/01/2022,4.9,3.9,1.4
05/02/2022,1.9,2.8,3.4
12/02/2022,1.45,3.55,4.85
19/02/2022,2.95,2.8,2.1
27/02/2022,1.7,3.15,3.7
05/03/2022,3.7,3.15,1.7
13/03/2022,1.7,3.05,3.85
21/03/2022,2.4,2.75,2.55
02/04/2022,2.1,2.7,3.05
09/04/2022,1.95,3.1,2.95
23/04/2022,3.4,2.95,1.85
30/04/2022,2.55,3.05,2.2
08/05/2022,2.4,2.9,2.4
14/05/2022,1.8,3.15,3.3
20/08/2022,2.75,2.55,2.4
27/08/2022,1.55,3.4,4.2
03/09/2022,3.1,2.75,2.05
12/09/2022,1.95,3.3,2.75
18/09/2022,7.2,4.9,1.2
02/10/2022,2.05,3.15,2.7
08/10/2022,2.15,2.75,2.9
17/10/2022,1.8,3.05,3.4
22/10/2022,3.35,3.1,1.8
29/10/2022,3.15,3.0,1.9
05/11/2022,2.3,2.8,2.6
08/11/2022,5.2,4.1,1.35
13/11/2022,2.9,2.8,2.1
17/12/2022,2.85,2.55,2.3
24/12/2022,2.05,3.0,2.8
31/12/2022,2.25,2.75,2.7
07/01/2023,2.65,3.1,2.1
15/01/2023,1.2,4.8,7.4
21/01/2023,2.0,2.85,3.1
30/01/2023,2.25,2.7,2.75
04/02/2023,2.7,2.7,2.3
11/02/2023,1.3,4.1,6.1
18/02/2023,1.65,3.0,4.25
26/02/2023,2.4,2.6,2.7
04/03/2023,1.25,4.5,6.5
11/03/2023,1.6,3.3,4.0
18/03/2023,1.3,4.2,5.9
01/04/2023,5.8,4.25,1.3
04/04/2023,1.65,3.20,3.90
08/04/2023,1.80,3.00,3.50
15/04/2023,5.60,3.90,1.35
