date,coach_team_home,team_home,bet_team_home,bet_draw,bet_team_away,team_away,coach_team_away,match_stadium,match_hour,result,Adebayo ADELEYE,Omer AGVADISH,Tomer ALTMAN,Awaka ASHTA,Ondrej BACO,Guy BADASH,Nwaf BAZIAA,Golan Beni,Ofek BITON,Jordan BOTAKA,Amit GLAZER,Noam Moshe GROSS,Peleg HAMANI,Dor JAN,Goni NAOR,Omer KABILO,Elad KAPLAN,Yorai MALIAC,Noam MELAMUD,Nadav NIDAM,Aynao PRADA,Roy REVIVO,Yehonatan SHABI,Harel SHALOM,William TOGUI,Yoav Tomer,Guy Eloge Koffi Yao,Itay ZADA,Ahmed Salman,Cedric Franck Don,Guy Hadida,Maor GEASSI,Cletus NOMBIL,William AGADA,Ben MIZAN,Liran ELMALIAH,Idan SHEMESH,Roslan BARSKI,Midan COHEN,Gal MAYO,Hamed SHOLAJA,Ehab SHAMI,Solomon DANIEL,Eduardo GUERREDO,Bright ENOBAKHARE,Aviram ZIAT,Karem ZOABI
30/08/2021,Yaron Hochenboim,Hapoel Nof Hagalil,2.9,2.65,2.2,Hapoel Jerusalem,Ziv Arieh,Green Stadium,20:00,0--0,90,90,0,65,52,0,0,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,38,0,73,0,90,90,65,90,25,25,17,0,0,0,0,0,0,0,0,0,0
13/09/2021,Ziv Arieh,Hapoel Jerusalem,2.85,2.95,2.05,Beitar Jerusalem,Arwoin Koman,Teddy Stadium,20:31,0--3,90,0,0,44y,90,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,90,0,69,0,60y,90,44y,90,46,0,30,46,21,0,0,0,0,0,0,0,0
19/09/2021,Menachem Koretsky,Hapoel Hadera Shulam Shwartz,1.7,3.2,3.6,Hapoel Jerusalem,Ziv Arieh,Netanya Stadium,19:00,0--0,94,94,0,94,60,0,0,0,0,0,0,0,0,0,94,0,0,34,0,0,0,0,0,0,0,0,94,0,15,0,79,94,94y,94,15yr,0,0,79,0,0,0,0,0,0,0,0,0
25/09/2021,Ziv Arieh,Hapoel Jerusalem,3.6,3.05,1.75,Bnei Sakhnin,Sharon Mimer,Teddy Stadium,17:45,0--0,90,90,0,90,90,0,0,0,0,0,0,0,0,0,90y,0,0,0,12,0,0,0,0,0,0,0,90,0,22,0,0,90,90,85,0,0,68,78,0,0,5,0,0,0,0,0,0
03/10/2021,Patrick Van Leeuwen,Maccabi Tel Aviv,1.2,4.55,8.1,Hapoel Jerusalem,Ziv Arieh,Bloomfield Stadium,20:15,1--0,90y,71,0,80,90,0,0,0,0,0,0,0,0,0,90,0,0,19,90,0,0,0,0,0,0,0,0,0,21,0,0,90,90y,69,44,10,46,80,0,10,0,0,0,0,0,0,0
16/10/2021,Ziv Arieh,Hapoel Jerusalem,8.0,4.6,1.2,Maccabi Haifa,Barak Bakhar,Teddy Stadium,18:01,1--4,90,90,0,17,90,73,0,0,0,0,0,0,0,0,90,0,0,0,90y,0,0,0,0,0,0,0,46,0,46,0,73,44,78,44,12,0,0,90,0,0,17,0,0,0,0,0,0
23/10/2021,Roni Levy,Hapoel Beer Sheva,1.15,4.9,9.8,Hapoel Jerusalem,Ziv Arieh,Turner Stadium,20:30,3--1,90,90,0,15y,0,71,0,0,0,0,0,0,0,0,90y,0,0,35,90y,0,0,0,0,0,0,0,90y,0,19,0,90,55,71,71,0,0,19,75y,0,0,19,0,0,0,0,0,0
30/10/2021,Ziv Arieh,Hapoel Jerusalem,3.65,3.2,1.7,Maccabi Ironi Petah Tikva,Guy Luzon,Teddy Stadium,19:00,1--0,94,0,0,11,94,94,0,0,0,0,0,0,0,0,94,0,0,60,34,0,0,0,0,0,0,0,94,0,0,0,75,34,83,60y,0,0,34,94,0,60,19,0,0,0,0,0,0
06/11/2021,Ziv Arieh,Hapoel Jerusalem,4.05,3.1,1.65,Maccabi Netanya,Beni Lam,Teddy Stadium,15:00,2--1,90,60,0,20,90y,77y,0,0,0,0,0,0,0,0,90,0,0,30,20,0,0,0,0,0,0,0,90,0,0,0,90,0,60y,90,0,0,13,70,0,70,30,0,0,0,0,0,0
27/11/2021,Ran Ben Shimon,Football Club Ashdod,1.55,3.25,4.5,Hapoel Jerusalem,Ziv Arieh,Yud-Alef Stadium,19:30,1--0,94,94,0,46y,94,58,0,0,0,0,0,0,0,0,94,0,0,48,18,0,0,0,0,0,0,0,94y,0,0,0,76,0,36,76,0,0,0,88y,6,94,18,0,0,0,0,0,0
